game;id;hours;last_played;metascore;userscore;wilsonscore;sdbrating;userscore_count;number_of_players
Manual Samuel - Anniversary Edition;504130;;;;84;82;80;1215;2
Mercenary Kings: Reloaded Edition;218820;;;76;74;72;71;1166;4
METAL SLUG 3;250180;2.3333333333333335;;;90;89;87;6009;2
Metaverse Keeper / 元能失控;698870;;;;78;75;74;582;4
Midnight Ghost Hunt;915810;;;;80;79;78;5090;8
Minion Masters;489520;;;;89;89;88;63375;2
Moon Hunters;320040;2.0166666666666666;;62;80;79;77;3690;4
Mount Your Friends;296470;13.2;;;95;94;92;5160;16
Move or Die;323850;0.4166666666666667;;80;90;90;88;16223;4
Mugsters;712180;0.45;;;64;54;60;65;2
Museum of Other Realities;613900;;;;91;88;84;396;0
NeuroVoider;400450;;;;78;75;73;430;4
Never Alone (Kisima Ingitchuna);295790;2.8;;;81;80;79;5510;2
Nidhogg;94400;0.7666666666666667;;81;90;89;87;5432;2
Nine Parchments;471550;;;;77;76;75;3607;4
Ninjin: Clash of Carrots;809870;7.35;;;93;90;85;281;2
No Heroes Here;696140;2.3333333333333335;;;89;86;82;353;4
No Time To Explain Remastered;368730;0.35;;;83;81;79;1247;4
Northgard;466560;25.1;;81;87;87;86;46353;8
Nuclear Throne;242680;63.68333333333333;;89;96;96;93;13000;2
Orcs Must Die! 2;201790;3.75;;83;93;93;90;12367;2
Outland;305050;;;79;80;79;78;3903;2
Overcooked;448510;11.133333333333333;;81;90;90;88;11557;4
PAC-MAN 256;455400;0.6;;;95;94;90;1106;4
Party Panic;506500;0.2;;;76;75;74;2736;4
Patch Quest;1347970;;;80;94;93;89;1767;2
Paw Paw Paw;1037910;0.13333333333333333;;;74;68;69;144;4
PewDiePie: Legend of the Brofist;390520;;;;91;90;86;1241;2
Phantom Breaker: Battle Grounds;329490;;;64;83;82;80;2991;4
Pigeons Attack;814300;0.016666666666666666;;;89;84;80;142;4
Pit People®;291860;18.166666666666668;;78;93;92;90;7116;2
PixelJunk™ Monsters Ultimate;243780;50.28333333333333;;72;86;83;81;552;2
PlateUp!;1599600;;;;95;95;92;13005;4
Plunder Panic;1455900;;;;94;84;80;39;12
Polyball;368180;;;;74;67;68;120;8
Project Winter;774861;;;;85;84;83;13229;8
PULSAR: Lost Colony;252870;;;;90;89;87;4142;5
Quest Hunter;487000;0.3;;;82;81;79;1923;4
Rampage Knights;314410;2.85;;80;93;92;89;2115;2
Rayman® Legends;242550;;;89;89;88;86;7628;5
Red Solstice 2: Survivors;768520;1.6666666666666667;;;71;69;69;2432;8
Red Wings: Aces of the Sky;1140630;;;;54;44;53;62;2
Regimental Chess;362400;;;;63;52;59;55;2
Risk of Rain (2013);248820;4.566666666666666;;77;93;93;91;20436;4
Rivals of Aether;383980;1.2833333333333334;;;96;96;94;28927;4
River City Girls;1049320;0.1;;;85;84;82;2642;2
Road Redemption;300380;20.6;;;82;81;80;9250;4
Robocraft;301520;;;;72;72;71;118612;50
Rocket League®;252950;1.1;;86;88;88;87;427033;4
Rocketbirds: Hardboiled Chicken;215510;1.0333333333333334;;74;81;79;78;1876;2
ROCKETSROCKETSROCKETS;289760;0.13333333333333333;;;82;78;76;317;4
Rogue Heroes: Ruins of Tasos;787810;;;;78;77;75;2185;4
Sacred Citadel;207930;;;61;72;69;69;585;3
Salt and Sanctuary;283640;0.21666666666666667;;84;89;89;87;17797;2
Samurai GUNN;239090;;;78;93;90;85;328;2
Screencheat;301970;0.9833333333333333;;71;91;89;85;743;4
SEGA Mega Drive and Genesis Classics;34270;;;;86;85;84;7084;4
Shing!;1103730;;;52;77;72;72;245;4
SkyScrappers;403460;;;;;;;3;4
Soccertron;334620;0.03333333333333333;;;70;55;63;30;4
Son of a Witch;539400;1.9666666666666666;;;85;81;79;319;4
Sonic & All-Stars Racing Transformed Collection;212480;50.35;;;93;93;90;10705;4
Soundfall;1608700;;;;77;75;73;857;4
Sparklite;943140;12.533333333333333;;70;77;73;72;369;2
SpeedRunners;207140;41.333333333333336;;84;94;94;92;22076;4
Spelunky;239350;1.1666666666666667;;90;92;92;90;13963;4
Square Heroes;334560;0.016666666666666666;;;85;78;76;96;4
StarMade;244770;;;;66;64;64;2174;8
STARWHAL;263020;0.9666666666666667;;;91;89;85;492;4
Stick Fight: The Game;674940;3.466666666666667;;;93;93;92;94653;4
Stikbold! A Dodgeball Adventure;429330;;;;89;84;81;169;2
Streets of Rogue;512900;0.23333333333333334;;;96;96;93;15364;4
Super Blood Hockey;532190;11.7;;;91;89;85;786;4
Super Bomberman R;702700;0.8;;;56;52;55;394;8
Super Volley Blast;822040;0.38333333333333336;;;94;89;83;92;2
Sword of the Necromancer;1243890;0.03333333333333333;;69;71;66;67;234;2
SYNTHETIK: Legion Rising;528230;0.23333333333333334;;;94;94;91;9530;2
T.E.C. 3001;280910;;;;91;88;83;243;2
Tabletop Simulator;286160;0.8;;;96;96;94;39120;8
Tales of Berseria™;429660;;;80;92;92;90;13246;4
Team Fortress 2;440;0.7166666666666667;;92;85;85;84;1104750;6
Team Fortress Classic;20;;;;86;85;83;6111;6
Teenage Mutant Ninja Turtles: Shredder's Revenge;1361510;2.8333333333333335;;;94;94;91;11231;6
Terraria;105600;0.2;;83;97;97;96;1034113;8
Terror of Hemasaurus;1016180;0.5;;78;92;90;86;571;4
The Bug Butcher;350740;3.1;;81;87;85;82;644;2
The Expendabros;312990;0.05;;;97;97;95;18045;4
The Flame in the Flood;318600;0.016666666666666666;;73;75;74;73;2550;2
THE HOUSE OF THE DEAD: Remake;1694600;;;;69;67;67;1783;2
The Incredible Adventures of Van Helsing II;272470;;;77;70;68;68;1822;4
The LEGO® Movie - Videogame;267530;;;;86;85;83;2841;2
The LEGO® NINJAGO® Movie Video Game;640590;;;;88;86;83;1161;2
The Matriarch;1773180;0.016666666666666666;;;77;74;73;644;8
The Red Solstice;265590;;;74;73;70;70;840;8
The Swords of Ditto: Mormo's Curse;619780;7.266666666666667;;74;62;60;61;1743;2
Tooth and Tail;286000;0.25;;80;82;81;79;2782;3
Total War: SHOGUN 2;34330;;;90;91;91;89;32081;2
TowerFall Ascension;251470;63.166666666666664;;87;95;94;91;2654;4
TRAIL OUT;1664220;;;;81;80;78;1999;4
Tricky Towers;437920;0.5166666666666667;;80;90;90;88;10969;4
Trine 2: Complete Story;35720;1.1333333333333333;;84;95;95;92;14703;3
Tumblestone;269710;;;91;87;82;79;157;4
Ultimate Chicken Horse;386940;;;;96;96;94;31794;4
Ultimate Zombie Defense;1035510;;;;86;84;82;1315;4
UNSIGHTED;1062110;;;84;93;92;88;1339;2
Vampire Survivors;1794680;28.216666666666665;;86;98;98;97;219853;4
Viking Squad;325930;8.75;;;84;80;77;226;3
Voidigo;1304680;1.4333333333333333;;;97;96;93;2707;2
Wargroove;607050;14.466666666666667;;82;84;83;81;3828;3
Warhammer 40,000: Gladius - Relics of War;489630;;;71;81;80;79;6684;6
We Were Here Expeditions: The FriendShip;2296990;;;;84;82;80;1416;2
Westerado: Double Barreled;275200;;;;92;91;87;1358;2
Wizard of Legend;445980;57.016666666666666;;79;91;91;89;16124;2
Worms W.M.D;327030;3.8;;79;86;85;84;7636;6
Wulverblade;587180;4.95;;75;82;76;75;147;2
Yet Another Zombie Defense;270550;0.1;;;86;85;84;12282;4
Zombie Estate 2;512490;;;;97;96;90;522;4
Colt Canyon;940710;;;;72;;;;2
Regular Human Basketball;661940;;;;90;;;;10
